"region";"år";"statistikkvariabel";"06913: Befolkning og endringer, etter region, år og statistikkvariabel"
"K_3103 Moss";"2005";"Levendefødte";435
"K_3103 Moss";"2005";"Døde";398
"K_3103 Moss";"2006";"Befolkning 1. januar";42044
"K_3103 Moss";"2006";"Levendefødte";516
"K_3103 Moss";"2006";"Døde";402
"K_3103 Moss";"2007";"Befolkning 1. januar";42472
"K_3103 Moss";"2007";"Levendefødte";471
"K_3103 Moss";"2007";"Døde";389
"K_3103 Moss";"2008";"Befolkning 1. januar";42987
"K_3103 Moss";"2008";"Levendefødte";454
"K_3103 Moss";"2008";"Døde";399
"K_3103 Moss";"2009";"Befolkning 1. januar";43693
"K_3103 Moss";"2009";"Levendefødte";497
"K_3103 Moss";"2009";"Døde";403
"K_3103 Moss";"2010";"Befolkning 1. januar";44323
"K_3103 Moss";"2010";"Levendefødte";477
"K_3103 Moss";"2010";"Døde";410
"K_3103 Moss";"2011";"Befolkning 1. januar";44691
"K_3103 Moss";"2011";"Levendefødte";490
"K_3103 Moss";"2011";"Døde";421
"K_3103 Moss";"2012";"Befolkning 1. januar";45414
"K_3103 Moss";"2012";"Levendefødte";437
"K_3103 Moss";"2012";"Døde";432
"K_3103 Moss";"2013";"Befolkning 1. januar";45955
"K_3103 Moss";"2013";"Levendefødte";420
"K_3103 Moss";"2013";"Døde";426
"K_3103 Moss";"2014";"Befolkning 1. januar";46409
"K_3103 Moss";"2014";"Levendefødte";426
"K_3103 Moss";"2014";"Døde";386
"K_3103 Moss";"2015";"Befolkning 1. januar";47044
"K_3103 Moss";"2015";"Levendefødte";483
"K_3103 Moss";"2015";"Døde";427
"K_3103 Moss";"2016";"Befolkning 1. januar";47640
"K_3103 Moss";"2016";"Levendefødte";405
"K_3103 Moss";"2016";"Døde";463
"K_3103 Moss";"2017";"Befolkning 1. januar";48154
"K_3103 Moss";"2017";"Levendefødte";403
"K_3103 Moss";"2017";"Døde";392
"K_3103 Moss";"2018";"Befolkning 1. januar";48671
"K_3103 Moss";"2018";"Levendefødte";427
"K_3103 Moss";"2018";"Døde";429
"K_3103 Moss";"2019";"Befolkning 1. januar";48871
"K_3103 Moss";"2019";"Levendefødte";408
"K_3103 Moss";"2019";"Døde";446
"K_3103 Moss";"2020";"Befolkning 1. januar";49273
"K_3103 Moss";"2020";"Levendefødte";400
"K_3103 Moss";"2020";"Døde";453
"K_3103 Moss";"2021";"Befolkning 1. januar";49668
"K_3103 Moss";"2021";"Levendefødte";434
"K_3103 Moss";"2021";"Døde";453
"K_3103 Moss";"2022";"Befolkning 1. januar";50290
"K_3103 Moss";"2022";"Levendefødte";434
"K_3103 Moss";"2022";"Døde";483
"K_3103 Moss";"2023";"Befolkning 1. januar";51240
"K_3103 Moss";"2023";"Levendefødte";387
"K_3103 Moss";"2023";"Døde";485
"K_3103 Moss";"2024";"Befolkning 1. januar";52051
"K_3103 Moss";"2024";"Levendefødte";..
"K_3103 Moss";"2024";"Døde";..
"K_3105 Sarpsborg";"1951";"Befolkning 1. januar";34180
"K_3105 Sarpsborg";"1951";"Levendefødte";590
"K_3105 Sarpsborg";"1951";"Døde";286
"K_3105 Sarpsborg";"1952";"Befolkning 1. januar";34874
"K_3105 Sarpsborg";"1952";"Levendefødte";618
